,order_id,order_line,order_date,product_id,quantity,price,total_price,model,description,bikeshop_name,location,terrain,terrain2,frame_material
0,1,1,2011-01-07,48,1,6070,6070,Jekyll Carbon 2,Mountain - Over Mountain - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon
1,1,2,2011-01-07,52,1,5970,5970,Trigger Carbon 2,Mountain - Over Mountain - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon
2,2,1,2011-01-10,76,1,2770,2770,Beast of the East 1,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
3,2,2,2011-01-10,52,1,5970,5970,Trigger Carbon 2,Mountain - Over Mountain - Carbon,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon
4,3,1,2011-01-10,2,1,10660,10660,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon
5,3,2,2011-01-10,50,1,3200,3200,Jekyll Carbon 4,Mountain - Over Mountain - Carbon,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon
6,3,3,2011-01-10,1,1,12790,12790,Supersix Evo Black Inc.,Road - Elite Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon
7,3,4,2011-01-10,4,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon
8,3,5,2011-01-10,34,1,1570,1570,Synapse Disc 105,Road - Endurance Road - Aluminum,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum
9,4,1,2011-01-11,26,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon
10,5,1,2011-01-11,96,1,480,480,Catalyst 3,Mountain - Sport - Aluminum,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum
11,5,2,2011-01-11,66,2,11190,22380,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon
12,5,3,2011-01-11,35,1,1250,1250,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Aluminum
13,5,4,2011-01-11,72,1,2060,2060,F-Si 2,Mountain - Cross Country Race - Aluminum,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum
14,6,1,2011-01-11,45,1,1960,1960,SuperX 105,Road - Cyclocross - Carbon,Phoenix Bi-peds,"Phoenix, AZ",Road,Cyclocross,Carbon
15,6,2,2011-01-11,39,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,Phoenix Bi-peds,"Phoenix, AZ",Road,Triathalon,Carbon
